name,norad_id,epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,line1,line2
TIANMU-1 07,57399,26050.58957134,97.276,103.9365,0.0004087,175.2839,184.8441,15.29165607,1 57399U 23101A   26050.58957134  .00006627  00000+0  23668-3 0  9993,2 57399  97.2760 103.9365 0004087 175.2839 184.8441 15.29165607143670
TIANMU-1 08,57400,26050.62492157,97.2749,103.7519,0.0005708,176.9306,183.197,15.29157917,1 57400U 23101B   26050.62492157  .00006867  00000+0  24515-3 0  9998,2 57400  97.2749 103.7519 0005708 176.9306 183.1970 15.29157917143671
TIANMU-1 09,57401,26050.60692318,97.2706,103.2192,0.0005066,177.7837,182.3427,15.29313705,1 57401U 23101C   26050.60692318  .00006951  00000+0  24696-3 0  9992,2 57401  97.2706 103.2192 0005066 177.7837 182.3427 15.29313705143679
TIANMU-1 10,57402,26050.57599230,97.2785,104.1116,0.0006653,182.7079,177.4127,15.2930789,1 57402U 23101D   26050.57599230  .00007034  00000+0  24986-3 0  9993,2 57402  97.2785 104.1116 0006653 182.7079 177.4127 15.29307890143669
FENGYUN 3F,57490,26050.57812800,98.6966,122.7248,0.0001467,90.2473,269.8872,14.19914902,1 57490U 23111A   26050.57812800  .00000073  00000+0  54717-4 0  9994,2 57490  98.6966 122.7248 0001467  90.2473 269.8872 14.19914902132176
ARKTIKA-M 2,58584,26050.11964412,63.2214,167.434,0.6874647,267.8298,18.8537,2.00613262,1 58584U 23198A   26050.11964412  .00000197  00000+0  00000+0 0  9999,2 58584  63.2214 167.4340 6874647 267.8298  18.8537  2.00613262 15953
TIANMU-1 11,58645,26050.57372167,97.3559,74.0206,0.001076,65.6552,294.5808,15.25612629,1 58645U 23205A   26050.57372167  .00005605  00000+0  22304-3 0  9990,2 58645  97.3559  74.0206 0010760  65.6552 294.5808 15.25612629119589
TIANMU-1 12,58646,26050.60521848,97.3548,73.8354,0.0008746,52.8848,307.3188,15.25530332,1 58646U 23205B   26050.60521848  .00006228  00000+0  24824-3 0  9998,2 58646  97.3548  73.8354 0008746  52.8848 307.3188 15.25530332119579
TIANMU-1 13,58647,26050.57110992,97.3575,74.0327,0.0008561,36.6318,323.5504,15.25578074,1 58647U 23205C   26050.57110992  .00005876  00000+0  23404-3 0  9990,2 58647  97.3575  74.0327 0008561  36.6318 323.5504 15.25578074119566
TIANMU-1 14,58648,26050.55540944,97.3509,73.3027,0.0009469,39.6482,320.5447,15.25555485,1 58648U 23205D   26050.55540944  .00005980  00000+0  23825-3 0  9996,2 58648  97.3509  73.3027 0009469  39.6482 320.5447 15.25555485119560
TIANMU-1 19,58660,26050.60909149,97.4383,166.5845,0.0005286,26.5127,333.6383,15.29418047,1 58660U 23208A   26050.60909149  .00009370  00000+0  33095-3 0  9992,2 58660  97.4383 166.5845 0005286  26.5127 333.6383 15.29418047119348
TIANMU-1 20,58661,26050.60745233,97.4322,167.0984,0.0007654,31.4917,328.678,15.30609206,1 58661U 23208B   26050.60745233  .00009367  00000+0  31883-3 0  9994,2 58661  97.4322 167.0984 0007654  31.4917 328.6780 15.30609206119420
TIANMU-1 21,58662,26050.62926250,97.4375,169.3275,0.0007347,26.0338,334.1272,15.3255323,1 58662U 23208C   26050.62926250  .00010419  00000+0  33361-3 0  9990,2 58662  97.4375 169.3275 0007347  26.0338 334.1272 15.32553230119541
TIANMU-1 22,58663,26050.62238491,97.4379,166.6203,0.0004506,52.0574,308.1072,15.29063611,1 58663U 23208D   26050.62238491  .00008373  00000+0  29932-3 0  9999,2 58663  97.4379 166.6203 0004506  52.0574 308.1072 15.29063611119355
TIANMU-1 15,58700,26050.61870637,97.4655,236.8859,0.0008027,49.7788,310.4151,15.25542847,1 58700U 24004A   26050.61870637  .00005913  00000+0  23586-3 0  9995,2 58700  97.4655 236.8859 0008027  49.7788 310.4151 15.25542847117848
TIANMU-1 16,58701,26050.60257248,97.4595,236.2061,0.000651,54.025,306.1591,15.25574158,1 58701U 24004B   26050.60257248  .00006420  00000+0  25565-3 0  9995,2 58701  97.4595 236.2061 0006510  54.0250 306.1591 15.25574158117849
TIANMU-1 17,58702,26050.65092638,97.4627,236.6992,0.0005709,56.1557,304.0223,15.25612668,1 58702U 24004C   26050.65092638  .00006573  00000+0  26140-3 0  9990,2 58702  97.4627 236.6992 0005709  56.1557 304.0223 15.25612668117843
TIANMU-1 18,58703,26050.56993028,97.4645,236.8269,0.0005103,56.4458,303.7267,15.25567583,1 58703U 24004D   26050.56993028  .00006183  00000+0  24642-3 0  9996,2 58703  97.4645 236.8269 0005103  56.4458 303.7267 15.25567583117832
INSAT-3DS,58990,26050.55047634,0.0864,266.1651,0.0002037,80.0746,83.4776,1.00274321,1 58990U 24033A   26050.55047634 -.00000151  00000+0  00000+0 0  9996,2 58990   0.0864 266.1651 0002037  80.0746  83.4776  1.00274321 45885
METEOR-M2 4,59051,26050.57105433,98.6871,11.4379,0.0007596,142.794,217.3765,14.22414007,1 59051U 24039A   26050.57105433  .00000004  00000+0  21267-4 0  9994,2 59051  98.6871  11.4379 0007596 142.7940 217.3765 14.22414007102548
GOES 19,60133,26050.51927619,0.0163,249.4447,0.0001003,120.2095,251.5464,1.00270992,1 60133U 24119A   26050.51927619 -.00000243  00000+0  00000+0 0  9991,2 60133   0.0163 249.4447 0001003 120.2095 251.5464  1.00270992  5789
FENGYUN 3H,65815,26050.57452975,98.6664,353.6989,0.0001566,74.5158,285.6192,14.19927341,1 65815U 25219A   26050.57452975  .00000068  00000+0  52430-4 0  9992,2 65815  98.6664 353.6989 0001566  74.5158 285.6192 14.19927341 20698
